demand,capacity factor criteria,power,lcoe_O
500,0.9,1000,89.35289543794659
500,0.9,900,81.71211272962933
500,0.9,800,73.9574399405037
500,0.9,700,66.07015761287674
500,0.9,600,58.02534860139065
500,0.9,500,49.7884220842505
500,0.9,400,58.99074075052447
500,0.9,300,46.34788435417589
500,0.9,200,42.71887092055851
500,0.9,100,34.68076190543372
500,0.9,50,32.16499494820318
500,0.9,20,34.663217171455244
500,0.9,5,39.156965435914096
500,0.9,1,46.25717778593817
500,0.95,1000,89.35289543794659
500,0.95,900,81.71211272962933
500,0.95,800,73.9574399405037
500,0.95,700,66.07015761287674
500,0.95,600,58.02534860139065
500,0.95,500,49.7884220842505
500,0.95,400,58.99074075052447
500,0.95,300,46.34788435417589
500,0.95,200,42.71887092055851
500,0.95,100,34.68076190543372
500,0.95,50,34.182757938815946
500,0.95,20,34.630258574848945
500,0.95,5,38.93979193035659
500,0.95,1,46.05515954591466
500,0.99,1000,89.35289543794659
500,0.99,900,81.71211272962933
500,0.99,800,73.9574399405037
500,0.99,700,66.07015761287674
500,0.99,600,58.02534860139065
500,0.99,500,49.7884220842505
500,0.99,400,58.99074075052447
500,0.99,300,46.34788435417589
500,0.99,200,42.71887092055851
500,0.99,100,34.68076190543372
500,0.99,50,34.182757938815946
500,0.99,20,35.1137769851682
500,0.99,5,38.761759738573964
500,0.99,1,45.906211762194545
500,1.0,1000,89.35289543794659
500,1.0,900,81.71211272962933
500,1.0,800,73.9574399405037
500,1.0,700,66.07015761287674
500,1.0,600,58.02534860139065
500,1.0,500,49.7884220842505
500,1.0,400,58.99074075052447
500,1.0,300,46.34788435417589
500,1.0,200,42.71887092055851
500,1.0,100,34.68076190543372
500,1.0,50,34.182757938815946
500,1.0,20,35.1137769851682
500,1.0,5,39.06675681688057
500,1.0,1,45.8908646483965
1000,0.9,1000,44.67644771897329
1000,0.9,900,41.1386724487623
1000,0.9,800,53.000669404062954
1000,0.9,700,47.315092986855724
1000,0.9,600,41.52022064398161
1000,0.9,500,35.59206147716377
1000,0.9,400,38.205187735358265
1000,0.9,300,30.41129833663143
1000,0.9,200,30.876540846283085
1000,0.9,100,28.67956381280573
1000,0.9,50,29.869751907751553
1000,0.9,20,33.00032098618876
1000,0.9,5,36.52295957934158
1000,0.9,1,43.783500170138296
1000,0.95,1000,44.67644771897329
1000,0.95,900,58.594236992099994
1000,0.95,800,53.000669404062954
1000,0.95,700,47.315092986855724
1000,0.95,600,41.52022064398161
1000,0.95,500,35.59206147716377
1000,0.95,400,38.205187735358265
1000,0.95,300,36.7318000819723
1000,0.95,200,30.876540846283085
1000,0.95,100,30.37402622396959
1000,0.95,50,29.816707951683597
1000,0.95,20,32.77379712695355
1000,0.95,5,36.335219170806575
1000,0.95,1,43.608332571191326
1000,0.99,1000,44.67644771897329
1000,0.99,900,58.594236992099994
1000,0.99,800,53.000669404062954
1000,0.99,700,47.315092986855724
1000,0.99,600,41.52022064398161
1000,0.99,500,35.59206147716377
1000,0.99,400,38.205187735358265
1000,0.99,300,36.7318000819723
1000,0.99,200,30.876540846283085
1000,0.99,100,30.37402622396959
1000,0.99,50,30.374545654156112
1000,0.99,20,33.07343755216681
1000,0.99,5,36.1939907918352
1000,0.99,1,43.477489300093794
1000,1.0,1000,44.67644771897329
1000,1.0,900,58.594236992099994
1000,1.0,800,53.000669404062954
1000,1.0,700,47.315092986855724
1000,1.0,600,41.52022064398161
1000,1.0,500,35.59206147716377
1000,1.0,400,38.205187735358265
1000,1.0,300,36.7318000819723
1000,1.0,200,30.876540846283085
1000,1.0,100,30.37402622396959
1000,1.0,50,30.374545654156112
1000,1.0,20,33.07343755216681
1000,1.0,5,36.31012271161577
1000,1.0,1,43.466993014908766
5000,0.9,1000,24.22285902431787
5000,0.9,900,22.59619443410841
5000,0.9,800,23.31510126294731
5000,0.9,700,23.463554606155448
5000,0.9,600,23.134595229963374
5000,0.9,500,22.379188444245468
5000,0.9,400,23.33767225240447
5000,0.9,300,22.652379115595146
5000,0.9,200,23.89581078351218
5000,0.9,100,24.65046464745031
5000,0.9,50,25.78916912765947
5000,0.9,20,28.203037719756217
5000,0.9,5,31.688597735951586
5000,0.9,1,39.289778185871924
5000,0.95,1000,24.22285902431787
5000,0.95,900,25.5475384340747
5000,0.95,800,23.31510126294731
5000,0.95,700,23.463554606155448
5000,0.95,600,23.134595229963374
5000,0.95,500,23.630907675765783
5000,0.95,400,23.33767225240447
5000,0.95,300,22.78848701081533
5000,0.95,200,23.893703935070103
5000,0.95,100,24.486015951395387
5000,0.95,50,25.658382871338024
5000,0.95,20,28.04450440497371
5000,0.95,5,31.546616559501224
5000,0.95,1,39.164709469554
5000,0.99,1000,24.22285902431787
5000,0.99,900,25.5475384340747
5000,0.99,800,26.167549686216624
5000,0.99,700,26.06976826581379
5000,0.99,600,25.23401841705567
5000,0.99,500,23.630907675765783
5000,0.99,400,23.550447907334576
5000,0.99,300,23.49829124454604
5000,0.99,200,23.933034195266362
5000,0.99,100,24.516392776241375
5000,0.99,50,25.56166924564557
5000,0.99,20,27.955745781171412
5000,0.99,5,31.44895866808181
5000,0.99,1,39.07431971666067
5000,1.0,1000,24.22285902431787
5000,1.0,900,25.5475384340747
5000,1.0,800,26.167549686216624
5000,1.0,700,26.06976826581379
5000,1.0,600,25.23401841705567
5000,1.0,500,23.630907675765783
5000,1.0,400,23.550447907334576
5000,1.0,300,23.49829124454604
5000,1.0,200,23.933034195266362
5000,1.0,100,24.516392776241375
5000,1.0,50,25.753541365780865
5000,1.0,20,27.967055259135105
5000,1.0,5,31.436685794363335
5000,1.0,1,39.064747273630815
10000,0.9,1000,20.30921097505188
10000,0.9,900,20.51197362731954
10000,0.9,800,21.15903571792093
10000,0.9,700,20.12039096439586
10000,0.9,600,20.47253395785544
10000,0.9,500,20.925773618293928
10000,0.9,400,21.56466220418331
10000,0.9,300,22.069722691205513
10000,0.9,200,22.602989056655442
10000,0.9,100,22.935967614557
10000,0.9,50,24.146735806143337
10000,0.9,20,26.430564861214165
10000,0.9,5,30.00857159468109
10000,0.9,1,37.79596211028136
10000,0.95,1000,21.456238460228608
10000,0.95,900,21.380140289787928
10000,0.95,800,21.15903571792093
10000,0.95,700,20.543140929396888
10000,0.95,600,20.60246569718257
10000,0.95,500,20.909784934412595
10000,0.95,400,21.56834801981885
10000,0.95,300,21.964624286694548
10000,0.95,200,22.47011784484932
10000,0.95,100,22.81782195057558
10000,0.95,50,24.027731436551363
10000,0.95,20,26.29404222746506
10000,0.95,5,29.884015593182916
10000,0.95,1,37.688830070020536
10000,0.99,1000,21.456238460228608
10000,0.99,900,21.380140289787928
10000,0.99,800,21.330759732402733
10000,0.99,700,21.63420751888805
10000,0.99,600,21.251008541440186
10000,0.99,500,21.143812181694766
10000,0.99,400,21.60933404442601
10000,0.99,300,22.201816249791793
10000,0.99,200,22.420734383437264
10000,0.99,100,22.75803623853603
10000,0.99,50,23.9470404421277
10000,0.99,20,26.231086322643232
10000,0.99,5,29.80345446935151
10000,0.99,1,37.61172539651255
10000,1.0,1000,21.456238460228608
10000,1.0,900,22.993475108877412
10000,1.0,800,21.330759732402733
10000,1.0,700,21.63420751888805
10000,1.0,600,21.251008541440186
10000,1.0,500,21.143812181694766
10000,1.0,400,21.60933404442601
10000,1.0,300,22.697875633828744
10000,1.0,200,22.420734383437264
10000,1.0,100,22.832087952948587
10000,1.0,50,24.01547456261673
10000,1.0,20,26.240806784313932
10000,1.0,5,29.793790484145184
10000,1.0,1,37.60136678147205
